control_id,pilar,funcion_cisa,descripcion_funcion,capacidad_transversal,nist_800_207_ref,nist_800_53_ref,iso_27001_ref,ens_ref,nis2_ref,dora_ref,iso_22301_ref,rgpd_ref
CISA-NET-04,Redes,Network Resilience,Resiliencia y disponibilidad de la red,Automation and Orchestration,Seccion 3.4,"CP-8, SC-5","A.5.29, A.8.14",op.cont.4,Art. 21.2.c,"Art. 11, Art. 12","8.3, 8.4",Art. 32.1.c
CISA-APP-01,Aplicaciones,Application Access,Acceso a la aplicacion autorizado por sesion,Automation and Orchestration,Seccion 2.1 - Tenet 3,"AC-3, AC-6",A.8.3,op.acc.4,Art. 21.2.i,Art. 9.4.c,,Art. 32.1.b
CISA-APP-02,Aplicaciones,Application Threat Protections,Proteccion de la aplicacion frente a ataques,Visibility and Analytics,Seccion 2.1 - Tenet 5,"SI-3, SI-10",A.8.26,mp.s.2,Art. 21.2.e,Art. 10,,Art. 32.1.b
CISA-APP-03,Aplicaciones,Accessible Applications,Publicacion de aplicaciones sin exponer la red,Governance,Seccion 3.2,"AC-17, SC-7",A.8.21,mp.com.4,Art. 21.2.a,Art. 9.3,,Art. 32.1.b
CISA-APP-04,Aplicaciones,Secure Application Development and Deployment Workflow,Desarrollo y despliegue seguros con integridad de artefactos,Automation and Orchestration,Seccion 2.1 - Tenet 5,"SA-11, SR-4, CM-3","A.8.25, A.8.31",mp.sw.1,Art. 21.2.e,"Art. 8, Art. 25",,Art. 25
CISA-APP-05,Aplicaciones,Application Security Testing,Pruebas de seguridad continuas sobre la aplicacion,Governance,Seccion 3.4,"SA-11(1), RA-5","A.8.8, A.8.29",mp.sw.2,Art. 21.2.f,"Art. 24, Art. 25",8.5,Art. 32.1.d
CISA-DAT-01,Datos,Data Inventory Management,Inventario y descubrimiento automatizado de datos,Governance,Seccion 2.1 - Tenet 1,"CM-8, RA-2",A.5.9,op.exp.1,Art. 21.2.i,Art. 8,8.2,Art. 30
CISA-DAT-02,Datos,Data Categorization,Clasificacion de datos por sensibilidad,Governance,Seccion 2.1 - Tenet 1,"RA-2, MP-3","A.5.12, A.5.13",mp.info.2,Art. 21.2.i,Art. 8.1,8.2,"Art. 5.1.c, Art. 30"
CISA-DAT-03,Datos,Data Availability,Disponibilidad y recuperabilidad del dato,Automation and Orchestration,Seccion 3.4,"CP-9, CP-10",A.8.13,mp.info.9,Art. 21.2.c,Art. 12,"8.3, 8.4",Art. 32.1.c
CISA-DAT-04,Datos,Data Access,Acceso al dato segun politica dinamica,Automation and Orchestration,Seccion 2.1 - Tenet 4,"AC-3, AC-24","A.5.15, A.8.3",mp.info.1,Art. 21.2.i,Art. 9.4.c,,"Art. 5.1.f, Art. 32.1.b"
CISA-DAT-05,Datos,Data Encryption,Cifrado del dato en reposo y en transito,Governance,Seccion 2.1 - Tenet 2,"SC-28, SC-13",A.8.24,mp.info.3,Art. 21.2.h,Art. 9.2,,Art. 32.1.a
CISA-XC-01,Transversal,Visibility and Analytics,Telemetria centralizada y analitica de comportamiento,Visibility and Analytics,Seccion 2.1 - Tenet 7,"AU-6, SI-4","A.8.15, A.8.16","op.exp.8, op.exp.10, op.mon.3",Art. 21.2.b,"Art. 10, Art. 12.1",9.1,Art. 32.1.d
CISA-XC-02,Transversal,Automation and Orchestration,Respuesta automatizada apoyada en politica,Automation and Orchestration,Seccion 3.1 - Policy Administrator,"IR-4(1), SI-4(2)",A.5.26,op.exp.7,"Art. 21.2.b, Art. 23","Art. 11, Art. 17","8.4.2, 8.4.3",Art. 33
CISA-XC-03,Transversal,Governance,"Politica, roles y supervision del programa Zero Trust",Governance,Seccion 7.3,"PM-1, PL-2","A.5.1, A.5.2",org.1,Art. 20,Art. 5,"5.1, 5.2",Art. 24
